median	mean	cor_Fumagalli	corlowvshigh_Fumagalli	GENE	Gene|EntrezID
0	0.141	-0.09962406	low.cor	CACNG8	CACNG8|59283
0	0.269	-0.05632616	low.cor	CALY	CALY|50632
0	0.616	0.202576948	low.cor	CARD18	CARD18|59082
0	0.210	0.174004635	low.cor	CARTPT	CARTPT|9607
0	0.409	-0.096644034	low.cor	CASR	CASR|846
0	0.130			CATSPER4	CATSPER4|378807
0	0.263	0.090225564	low.cor	CAV3	CAV3|859
0	0.092	0.220641377	low.cor	CCDC105	CCDC105|126402
0	0.644	0.203561764	low.cor	CCDC140	CCDC140|151278
0	0.252	0.123995333	low.cor	CCDC27	CCDC27|148870
0	0.312	0.022297122	low.cor	CCDC37	CCDC37|348807
0	0.195	-0.198405496	low.cor	CCDC38	CCDC38|120935
0	0.262	0.065498858	low.cor	CCDC60	CCDC60|160777
0	0.223	0.119328494	low.cor	CCDC63	CCDC63|160762
0	0.075	0.000584151	low.cor	CCDC70	CCDC70|83446
0	0.166			CCDC79	CCDC79|283847
0	0.221	0.429161738	low.cor	CCDC83	CCDC83|220047
0	0.319	-0.094796714	low.cor	CCKAR	CCKAR|886
0	0.570	-0.090524006	low.cor	CCL1	CCL1|6346
0	0.079			CCL14-CCL15	CCL14-CCL15|348249
0	0.366			CCL15	CCL15|6359
0	0.453	0.16456517	low.cor	CCL16	CCL16|6360
0	0.695	0.258296604	low.cor	CCL24	CCL24|6369
0	0.443	0.061770806	low.cor	CCL27	CCL27|10850
0	0.152	-0.032232442	low.cor	CCT8L2	CCT8L2|150160
0	0.183			CD200R1L	CD200R1L|344807
0	0.067			CD300LD	CD300LD|100131439
0	0.445	0.244721363	low.cor	CDH10	CDH10|1008
0	0.593	0.105263158	low.cor	CDH16	CDH16|1014
0	0.597	0.186868032	low.cor	CDH18	CDH18|1016
0	0.066	-0.056442219	low.cor	CDH9	CDH9|1007
0	0.269			CDHR4	CDHR4|389118
0	0.077			CDRT15	CDRT15|146822
0	0.010			CDX4	CDX4|1046
0	0.000			CDY1	CDY1|9085
0	0.000			CDY1B	CDY1B|253175
0	0.000			CDY2B	CDY2B|203611
0	0.192			CEACAM16	CEACAM16|388551
0	0.002			CEACAM18	CEACAM18|729767
0	0.215			CEACAM20	CEACAM20|125931
0	0.201	0.061122634	low.cor	CEACAM8	CEACAM8|1088
0	0.166	0.076509114	low.cor	CELA1	CELA1|1990
0	0.066	0.305613171	low.cor	CELA2A	CELA2A|63036
0	0.043	0.083354939	low.cor	CELA2B	CELA2B|51032
0	0.014	-0.175504804	low.cor	CELA3A	CELA3A|10136
0	0.083	0.076398021	low.cor	CELA3B	CELA3B|23436
0	0.565	-0.06728027	low.cor	CELF3	CELF3|11189
0	0.359			CELP	CELP|1057
0	0.318	0.084113968	low.cor	CER1	CER1|9350
0	0.451	0.055677988	low.cor	CES7	CES7|221223
0	0.035	-0.021203308	low.cor	CETN1	CETN1|1068
0	0.020			CFC1B	CFC1B|653275
0	0.078	0.368288174	low.cor	CFHR2	CFHR2|3080
0	0.201			CFHR4	CFHR4|10877
0	0.167	0.167424659	low.cor	CFHR5	CFHR5|81494
0	0.650	0.769884838	high.cor	CGA	CGA|1081
0	0.481			CGB	CGB|1082
0	0.058			CGB1	CGB1|114335
0	0.309			CGB2	CGB2|114336
0	0.388			CGB5	CGB5|93659
0	0.211			CGB8	CGB8|94115
0	0.174	-0.304964999	low.cor	CHAT	CHAT|1103
0	0.125	0.079789992	low.cor	CHRM2	CHRM2|1129
0	0.535	0.083030853	low.cor	CHRNA2	CHRNA2|1135
0	0.072	0.012364521	low.cor	CHRNB3	CHRNB3|1142
0	0.151	-0.034417941	low.cor	CHRND	CHRND|1144
0	0.513	0.566604007	low.cor	CIB3	CIB3|117286
0	0.629	0.035522802	low.cor	CIB4	CIB4|130106
0	0.353	0.710599618	high.cor	CLC	CLC|1178
0	0.072	0.083360342	low.cor	CLCA1	CLCA1|1179
0	0.337			CLCA3P	CLCA3P|9629
0	0.043	-0.109632812	low.cor	CLDN17	CLDN17|26285
0	0.073			CLDN22	CLDN22|53842
0	0.125			CLDN25	CLDN25|644672
0	0.093	0.086759249	low.cor	CLEC1B	CLEC1B|51266
0	0.161			CLEC2A	CLEC2A|387836
0	0.450	0.233963246	low.cor	CLEC4M	CLEC4M|10332
0	0.082	-0.224275445	low.cor	CLRN1	CLRN1|7401
0	0.472			CLRN1OS	CLRN1OS|116933
0	0.019			CLRN2	CLRN2|645104
0	0.275	0.136764325	low.cor	CLVS2	CLVS2|134829
0	0.051	0.112084833	low.cor	CNBD1	CNBD1|168975
0	0.656			CNGA2	CNGA2|1260
0	0.439	-0.054644455	low.cor	CNGB3	CNGB3|54714
0	0.251	0.044884175	low.cor	CNPY1	CNPY1|285888
0	0.304	0.164959813	low.cor	CNTNAP5	CNTNAP5|129684
0	0.348	-0.193220119	low.cor	COL20A1	COL20A1|57642
0	0.723	0.044983876	low.cor	COX6A2	COX6A2|1339
0	0.689	0.319728561	low.cor	COX7B2	COX7B2|170712
0	0.549	0.11965258	low.cor	CPA1	CPA1|1357
0	0.446	-0.115763547	low.cor	CPLX2	CPLX2|10814
0	0.079	0.16781449	low.cor	CPN1	CPN1|1369
0	0.353	-0.060604096	low.cor	CPNE6	CPNE6|9362
0	0.089			CPXCR1	CPXCR1|53336
0	0.601	0.167822649	low.cor	CRCT1	CRCT1|54544
0	0.149	0.110124449	low.cor	CRH	CRH|1392
0	0.165	0.141476554	low.cor	CRISP1	CRISP1|167
0	0.360			CRLF2	CRLF2|64109
0	0.336	0.040200102	low.cor	CRNN	CRNN|49860
0	0.145	0.105327975	low.cor	CRX	CRX|1406
0	0.137	0.140343168	low.cor	CRYBA1	CRYBA1|1411
0	0.012	0.05811741	low.cor	CRYGA	CRYGA|1418
0	0.010	-0.001662447	low.cor	CRYGB	CRYGB|1419
0	0.044	0.061262197	low.cor	CRYGC	CRYGC|1420
0	0.020	0.04503028	low.cor	CRYGD	CRYGD|1421
0	1.865			CSAG2	CSAG2|728461
0	0.029			CSH1	CSH1|1442
0	0.244	-0.20014281	low.cor	CSH2	CSH2|1443
0	0.010	0.002398276	low.cor	CSHL1	CSHL1|1444
0	0.588	0.268796992	low.cor	CSMD3	CSMD3|114788
0	0.550	0.442499004	low.cor	CSN1S1	CSN1S1|1446
0	0.049			CSN1S2A	CSN1S2A|286828
0	0.572	0.337509427	low.cor	CSN2	CSN2|1447
0	0.367			CSNK1A1P	CSNK1A1P|161635
0	0.000			CSPG4PY2	CSPG4PY2|84664
0	0.080	0.165615486	low.cor	CSRP3	CSRP3|8048
0	0.043	0.12633204	low.cor	CST11	CST11|140880
0	0.175	0.29563132	low.cor	CST5	CST5|1473
0	0.009	-0.007423157	low.cor	CST8	CST8|10047
0	0.180	0.413149214	low.cor	CST9	CST9|128822
0	0.033	0.579469708	low.cor	CST9L	CST9L|128821
0	0.234	0.106275368	low.cor	CSTL1	CSTL1|128817
0	0.017			CSTT	CSTT|164380
0	1.024			CT45A1	CT45A1|541466
0	0.332			CT45A2	CT45A2|728911
0	0.520			CT45A3	CT45A3|441519
0	0.333			CT45A4	CT45A4|441520
0	0.675			CT45A5	CT45A5|441521
0	0.278			CT45A6	CT45A6|541465
0	0.000			CT47A1	CT47A1|728096
0	0.000			CT47A10	CT47A10|728036
0	0.000			CT47A11	CT47A11|255313
0	0.039			CT47A2	CT47A2|728090
0	0.018			CT47A6	CT47A6|728062
0	0.020			CT47A7	CT47A7|653282
0	0.000			CT47A9	CT47A9|728042
0	0.065			CT47B1	CT47B1|643311
0	0.956			CTAG2	CTAG2|30848
0	0.083			CTRB1	CTRB1|1504
0	0.314	0.174941665	low.cor	CTRB2	CTRB2|440387
0	0.408	-0.065659839	low.cor	CTRC	CTRC|11330
0	0.012			CTSL3	CTSL3|392360
0	0.469	-0.040760731	low.cor	CTXN3	CTXN3|613212
0	0.160			CXorf1	CXorf1|9142
0	0.033			CXorf27	CXorf27|25763
0	0.123			CXorf41	CXorf41|139212
0	0.084			CXorf51	CXorf51|100129239
0	0.337			CXorf64	CXorf64|100130613
0	0.003			CXorf66	CXorf66|347487
0	0.321			CYCSP52	CYCSP52|360155
0	0.018			CYLC1	CYLC1|1538
0	0.014	-0.09491422	low.cor	CYLC2	CYLC2|1539
0	0.032			CYMP	CYMP|643160
0	0.027			CYorf15A	CYorf15A|246126
0	0.027			CYorf15B	CYorf15B|84663
0	0.128	0.019963702	low.cor	CYP11B1	CYP11B1|1584
0	0.022	0.29958517	low.cor	CYP11B2	CYP11B2|1585
0	0.567	0.150181488	low.cor	CYP17A1	CYP17A1|1586
0	0.251	0.27164895	low.cor	CYP1A2	CYP1A2|1544
0	0.456	0.296733212	low.cor	CYP2A13	CYP2A13|1553
0	0.362	0.432330827	low.cor	CYP2A7	CYP2A7|1549
0	0.364	0.293362717	low.cor	CYP2B6	CYP2B6|1555
0	0.090	0.224087639	low.cor	CYP2C19	CYP2C19|1557
0	0.389	0.160876329	low.cor	CYP2C9	CYP2C9|1559
0	1.039	0.011213378	low.cor	CYP2F1	CYP2F1|1572
0	0.348	-0.23302045	low.cor	CYP3A43	CYP3A43|64816
0	0.500	0.138644024	low.cor	CYP4A11	CYP4A11|1579
0	0.268			CYP4A22	CYP4A22|284541
0	0.298			CYP4F2	CYP4F2|8529
0	1.213			CYP4F8	CYP4F8|11283
0	0.177			DAD1L	DAD1L|56286
0	0.216	0.147783251	low.cor	DAO	DAO|1610
0	0.003	-0.00911021	low.cor	DAOA	DAOA|267012
0	0.007			DAZ1	DAZ1|1617
0	0.000			DAZ2	DAZ2|57055
0	0.000			DAZ3	DAZ3|57054
0	0.000			DAZ4	DAZ4|57135
0	0.125			DBX1	DBX1|120237
0	0.167			DCAF12L1	DCAF12L1|139170
0	0.659	0.114661654	low.cor	DCAF4L2	DCAF4L2|138009
0	0.248			DCAF8L1	DCAF8L1|139425
0	0.262			DCAF8L2	DCAF8L2|347442
0	1.342	0.659111282	low.cor	DCD	DCD|117159
0	0.282	-0.202618616	low.cor	DCDC2B	DCDC2B|149069
0	0.067	0.022200256	low.cor	DDI1	DDI1|414301
0	0.115			DDX3Y	DDX3Y|8653
0	0.427	0.234703137	low.cor	DDX4	DDX4|54514
0	0.136			DDX53	DDX53|168400
0	0.205	-0.108538186	low.cor	DEC1	DEC1|50514
0	0.367			DEFA1B	DEFA1B|728358
0	0.091	0.319032779	low.cor	DEFA4	DEFA4|1669
0	0.030	0.212540958	low.cor	DEFA5	DEFA5|1670
0	0.020	-0.060069156	low.cor	DEFA6	DEFA6|1671
0	0.273			DEFB103B	DEFB103B|414325
0	0.000			DEFB104A	DEFB104A|140596
